lexicon,word,homophones,mps,neighbors,length
real,3r<@nt,0,0.0,0.0,6
real,w3rf,0,6.0,7.0,4
real,p6k},0,0.0,0.0,4
real,s3rt,0,10.0,12.0,4
real,gi[tIn,0,0.0,0.0,6
real,v2ks,0,3.0,3.0,4
real,bramb[l,0,0.0,1.0,7
real,frond,0,1.0,2.0,5
real,f3s[t,0,1.0,1.0,5
real,val>d,0,1.0,1.0,5
real,amj[l[t,0,0.0,0.0,7
real,k4lt,0,4.0,5.0,4
real,fl7t,0,10.0,10.0,4
real,j&s0p,0,0.0,0.0,5
real,tr2mb[l,0,0.0,1.0,7
real,[lur,0,0.0,0.0,4
real,frok,0,3.0,3.0,4
real,pr1z[n,0,1.0,1.0,6
real,akn<,0,1.0,1.0,4
real,_4mb],0,0.0,0.0,5
real,imj&,0,0.0,0.0,4
real,mak}[l,0,0.0,0.0,6
real,fi#rd,0,0.0,0.0,5
real,[bl5_,0,0.0,0.0,5
real,fr2sk],0,0.0,0.0,6
real,[b4v,0,0.0,0.0,4
real,grel,0,11.0,11.0,4
real,pork,0,10.0,11.0,4
real,p[g6d[,0,0.0,0.0,6
real,afgAn,0,0.0,0.0,5
real,aTlIt,0,0.0,0.0,5
real,d7pl@ks,0,0.0,0.0,7
real,sp5t,0,11.0,12.0,4
real,spj7,0,0.0,0.0,4
real,s0k[,0,0.0,3.0,4
real,kr6n[,0,1.0,2.0,5
real,sl2d,0,3.0,3.0,4
real,>nam[l,0,0.0,0.0,6
real,kl4b,0,2.0,2.0,4
real,led[l,0,1.0,1.0,5
real,S1v},0,0.0,0.0,4
real,g>tor,0,1.0,1.0,5
real,m[l2n<[m,0,0.0,0.0,8
real,magn[t,0,0.0,1.0,6
real,av[s@t,0,0.0,0.0,6
real,pAl>sed,0,0.0,0.0,7
real,f3rJ{n,0,0.0,0.0,6
real,mast[f,0,0.0,0.0,6
real,kl6k,0,10.0,10.0,4
real,st1J,0,6.0,6.0,4
real,p0p[s,0,2.0,2.0,5
real,Jorm,0,5.0,5.0,4
real,f[tig,0,0.0,0.0,5
real,[lorm,0,0.0,0.0,5
real,sp1t,0,11.0,12.0,4
real,l1n>t,0,0.0,1.0,5
real,stev,0,8.0,8.0,4
real,sk3f,0,3.0,3.0,4
real,hest,0,7.0,7.0,4
real,tr5b,0,4.0,4.0,4
real,twaN,0,0.0,0.0,4
real,ab[t,0,1.0,3.0,4
real,f}b1d,0,0.0,0.0,5
real,h3rm^n,0,0.0,0.0,6
real,[d3rn,0,0.0,1.0,5
real,k4lpr>t,0,0.0,0.0,7
real,prom[s,0,0.0,0.0,6
real,d1ks<,0,1.0,1.0,5
real,b1sk[t,0,1.0,2.0,6
real,m6g[l,0,0.0,1.0,5
real,v[n1l[,0,0.0,0.0,6
real,t2r},0,2.0,2.0,4
real,r7bOrb,0,0.0,0.0,6
real,Jat[l,0,6.0,6.0,5
real,s5l],0,1.0,1.0,4
real,b3rs,0,8.0,8.0,4
real,prez,0,6.0,6.0,4
real,f2ns,0,7.0,7.0,4
real,korg],0,1.0,1.0,5
real,tri],0,1.0,1.0,4
real,fr3d,0,4.0,4.0,4
real,kr4m,0,8.0,8.0,4
real,bjur],0,0.0,0.0,5
real,[k3st,0,0.0,0.0,5
real,staJ},0,3.0,3.0,5
real,fag[s+t,0,0.0,0.0,7
real,slak,0,15.0,15.0,4
real,p}ed,0,0.0,0.0,4
real,pet},0,2.0,2.0,4
real,f5n+t,0,0.0,0.0,5
real,lorg],0,1.0,1.0,5
real,kans[l,0,4.0,5.0,6
real,kaZm!r,0,0.0,0.0,6
real,s!n[liz,0,0.0,0.0,7
real,balk[n<,0,0.0,0.0,7
real,s4nd},0,1.0,2.0,5
real,p8nd,0,9.0,9.0,4
real,sm0k,0,3.0,3.0,4
real,t[bak],0,0.0,0.0,6
real,tr3m[,0,0.0,0.0,5
real,t1lt,0,9.0,10.0,4
real,spl1t,0,1.0,4.0,5
real,m5ld,0,5.0,5.0,4
real,m2T[d,0,1.0,1.0,5
real,gl4v,0,2.0,2.0,4
real,m1n],0,5.0,5.0,4
real,6g[l,0,2.0,3.0,4
real,stel,0,14.0,14.0,4
real,swomp,0,2.0,3.0,5
real,kl8t,0,5.0,5.0,4
real,2m}[ld,0,0.0,0.0,6
real,an^d,0,0.0,0.0,4
real,d1pl[mAt,0,0.0,0.0,8
real,_2r<,0,6.0,6.0,4
real,b6g[s,0,1.0,1.0,5
real,sw1l,0,13.0,13.0,4
real,m4st}d,0,0.0,1.0,6
real,gland,0,3.0,5.0,5
real,t}en,0,2.0,2.0,4
real,l1br[l,0,0.0,0.0,6
